Категория,Название,Цена,Хит,Фото URL,Описание
Пицца,Пицца-фри,659,Да,https://thumbor.uds.app/unsafe/600x600//game-prod/549755920775/GOODS/10def951-741d-4175-836b-3d92dcec868b,"Копчёная курица, колбаски, моцарелла, соус биг мак, фри макси"
Пицца,Четыре сыра,659,Нет,,
Пицца,Лесная,589,Нет,,
Пицца,Пепперони,579,Да,https://thumbor.uds.app/unsafe/600x600//game-prod/549755920775/GOODS/a61e3cda-a437-4e4d-a95b-2ba67c9c67b1,"Томатный соус, моцарелла, помидоры, пепперони, сушёная зелень"
Пицца,Пицца с ветчиной и грибами,539,Нет,,
Пицца,Грибника,559,Нет,,
Пицца,Венеция,589,Нет,,
Пицца,Пепперони острая,579,Нет,,
Пицца,Ассорти,559,Нет,,
Пицца,Четыре сезона,569,Нет,,
Пицца,Курица под чесночным соусом,579,Нет,,
Пицца,Жульетта,639,Нет,,
Пицца,Домашняя,649,Нет,,
Пицца,Гавайская,569,Нет,,
Пицца,Пицца с копчёностями,609,Нет,,
Пицца,Милано,569,Нет,,
Пицца,А-ля Биг-Мак,599,Нет,,
Пицца,Деревенская,599,Нет,,
Пицца,Винни Пух (Детская),589,Нет,,
Пицца,Халяль,579,Нет,,
Запечённые роллы,Ролл столичный,399,Нет,,
Запечённые роллы,Илиш,529,Нет,,
Запечённые роллы,Любимчик,399,Нет,,
Запечённые роллы,Шанхай,439,Нет,,
Запечённые роллы,Запеченная Филадельфия,699,Да,https://thumbor.uds.app/unsafe/600x600//game-prod/549755920775/GOODS/e92b2bbf-27ba-4eb8-9286-4f52b2909725,"8 шт., семга, сливочный сыр, сырный соус для запекания"
Запечённые роллы,Фудзи,429,Нет,,
Запечённые роллы,Дубай,349,Нет,,
Запечённые роллы,Уфа,399,Нет,,
Запечённые роллы,Дайкон,599,Нет,,
Запечённые роллы,Кавасаки,599,Нет,,
Запечённые роллы,С копчёной семгой,629,Нет,,
Запечённые роллы,С креветкой в терияки,619,Нет,,
Запечённые роллы,Москва,399,Нет,,
Запечённые роллы,Тамагочи,379,Нет,,
Запечённые роллы,Сан-Франциско,409,Нет,,
Запечённые роллы,Запеченная классика с окунем,379,Нет,,
Запечённые роллы,Запеченная классика с семгой,509,Да,https://thumbor.uds.app/unsafe/600x600//game-prod/549755920775/GOODS/54b58b50-72bc-4c65-a9b6-f754d8c7b7a5,"8 кусочков, семга, кунжут, унаги соус"
Запечённые роллы,Запеченная классика с крем-крабом,309,Нет,,
Запечённые роллы,Запеченная классика с мидиями,379,Нет,,
Запечённые роллы,Мидори,399,Нет,,
Фастфуды,Бургер,319,Да,https://thumbor.uds.app/unsafe/600x600//game-prod/549755920775/GOODS/87261021-68a9-423c-8616-cb8a68a4f559,"Булочка, соус гриль, говяжья котлета, помидоры, огурцы маринованные, лук маринованный, лист салата, сыр чеддер"
Фастфуды,Шаурма в сырном лаваше,279,Да,https://thumbor.uds.app/unsafe/600x600//game-prod/549755920775/GOODS/4c3d963a-2306-4c85-9782-41f51c31e828,"Лаваш, курица шаурма, помидоры, огурцы, морковь по-корейски, фирменный соус"
Фастфуды,Бургер Том-Ям,189,Нет,,
Фастфуды,Хашбрауны,79,Нет,,
Фастфуды,Чиабатта со стрипсами,189,Нет,,
Фастфуды,Луковые кольца,195,Нет,,
Фастфуды,Стрипсы,219,Нет,,
Фастфуды,Чикенбургер,295,Нет,,
Фастфуды,Бургер со стрипсами,229,Нет,,
Фастфуды,Шаурма из армянского лаваша,279,Нет,,
Фастфуды,Байтсы в терияки,439,Нет,,
Фастфуды,Картофельные шарики,279,Нет,,
Фастфуды,Гренки с чесночным соусом,209,Нет,,
